fill,lumi,nbx,SBIL,SBILerr,HFOCsig,HFOC err,HFOC FOM,HFOCFOMERR
7037,133.284,2544,6.630329157,64.56843671,837.2762911,2.594586355,1.002726097,0.003107289
7037,133.284,2544,1.814690399,21.97651364,823.2191351,4.798807319,0.98589118,0.005747075
7039,133.773,2544,5.128854426,52.50005319,853.0486288,2.483806458,1.021615124,0.002974619
7039,133.773,2544,1.663143814,24.1252642,797.7061551,4.722022413,0.955336713,0.005655117
7040,134.247,2544,4.933858495,47.84037713,832.4459016,2.797972524,0.996941199,0.003350865
7042,134.641,2544,6.62794007,57.93711589,844.2882591,2.518262243,1.011123664,0.003015883
7042,134.641,2544,1.766537773,28.36503268,827.0329643,4.391429212,0.99045864,0.005259197
7043,135.155,2544,2.55520798,27.23814621,830.5518238,3.285789782,0.994672843,0.003935078
7045,135.47,2544,5.63810964,58.18971788,841.7969431,2.521856496,1.008140052,0.003020187
7047,135.927,2544,7.399866543,80.10008035,838.5518195,2.236981371,1.004253676,0.00267902
7048,136.298,2544,7.0630584,40.70061178,836.4581002,2.41738628,1.001746228,0.002895073
7052,136.516,2544,6.764936506,59.46091372,844.3029741,2.338767546,1.011141286,0.002800919
7053,137.016,2544,6.52152728,47.85726538,848.7054635,2.300763919,1.016413729,0.002755406
7054,137.338,2544,6.802496122,46.21079808,846.3555804,2.216499734,1.013599497,0.002654491
7055,137.354,2544,6.954931779,62.72574872,862.0554089,2.265952997,1.032401687,0.002713716
7056,137.768,2544,6.600164112,53.47839606,838.2917067,2.404947026,1.003942164,0.002880176
7056,137.768,2544,0.98576951,16.51045322,824.8588459,5.744735302,0.987854905,0.006879923
7058,138.52,2544,6.414182559,56.27268078,841.3762179,2.304133657,1.007636189,0.002759442
7058,138.52,2544,5.59505014,50.1410031,865.4340514,2.5283894,1.036447966,0.003028011
7058,138.52,2544,1.463094104,30.10264292,819.9731107,4.971283328,0.982003725,0.005953633
7061,139.046,2544,7.043136092,49.53077393,845.3856973,2.167767633,1.012437961,0.002596129
7061,139.046,2544,1.640002538,18.44783438,821.4080051,4.50914061,0.983722162,0.005400168
7063,139.618,2544,6.33710913,58.97659423,840.6494425,2.425098102,1.006765799,0.002904309
7065,140.091,2544,7.242549447,70.66569453,848.1129685,2.248895172,1.015704154,0.002693288
7065,140.091,2544,1.779279532,28.34686589,813.1001679,4.657191309,0.973772656,0.005577475
7069,140.626,2544,5.96906629,60.84231866,850.8385271,2.508324798,1.018968296,0.003003982
7069,140.626,2544,1.336596229,27.65361669,818.8889771,5.006697206,0.980705362,0.005996045
7078,141.13,2544,6.124354969,41.84580193,839.7697188,2.367235921,1.005712238,0.002835013
7080,141.25,2544,6.087159761,47.52153707,844.9822703,2.355385771,1.011954815,0.002820821
7083,141.774,2544,5.930439831,45.81235213,819.1037928,2.361942609,0.980962626,0.002828674
7087,142.219,2544,6.667772806,61.71527011,838.90463,2.236918758,1.004676204,0.002678945
7087,142.219,2544,1.59442642,17.46467033,826.313125,4.822302957,0.989596557,0.005775213
7088,142.739,2544,6.664596526,55.09884791,830.0558204,2.325362838,0.994078827,0.002784866
7090,142.822,2544,6.325322815,50.29963478,837.0420695,2.350105511,1.002445592,0.002814498
7090,142.822,2544,1.774882914,29.15792461,826.6136392,4.678789901,0.989956454,0.005603341
7091,143.343,2544,6.203131161,60.38756447,829.7889376,2.292832631,0.993759207,0.002745907
7091,143.343,2544,1.762125186,25.25499801,819.745184,4.575600469,0.981730759,0.005479761
7092,143.871,2544,6.714840961,51.75480638,841.9905294,2.433529069,1.008371891,0.002914406
7095,144.037,2544,6.043643551,56.53348055,828.8083209,2.30204257,0.992584815,0.002756937
7097,144.332,2544,7.02885456,61.29241419,839.5332356,2.413161158,1.005429025,0.002890013
7097,144.332,2544,1.439910536,24.70655078,819.5737367,4.795313928,0.981525433,0.005742891
7098,144.856,2544,6.431275551,56.05466426,839.8388939,2.272990389,1.005795083,0.002722144
7099,145.14,2544,6.814575306,34.4143325,837.159887,2.460112644,1.002586691,0.002946243
7101,145.252,2544,6.682334157,63.29176161,839.5090914,2.26172394,1.005400109,0.002708651
7105,145.412,2544,6.962090792,41.0232854,840.2381703,2.275484782,1.006273258,0.002725131
7105,145.412,2544,1.642051917,21.95069881,826.5466465,4.816322052,0.989876223,0.00576805
7108,145.948,2544,6.878510612,56.78008235,838.2668253,2.271673798,1.003912366,0.002720567
7108,145.948,2544,1.863047898,28.69725898,820.0738176,4.525241012,0.982124333,0.00541945
7109,146.468,2544,6.562563536,67.12114599,841.2358982,2.229862216,1.007468142,0.002670494
7110,146.485,2544,2.122787345,29.25523518,823.0411344,3.978735581,0.985678005,0.004764953
7110,146.485,2544,6.510460254,51.86345575,835.869371,2.296993196,1.001041163,0.00275089
7112,146.969,2544,6.921663167,48.59264985,836.0352263,2.163447641,1.001239792,0.002590955
7117,147.003,2544,7.044312958,55.76755486,833.5643722,2.344720214,0.998280685,0.002808048
7118,147.253,2544,7.630711323,68.21304048,844.2701385,2.197159897,1.011101962,0.002631329
7118,147.253,2544,3.890232864,45.57182648,836.5837603,3.245818216,1.001896719,0.003887207
7120,147.616,2544,7.208879931,45.21155514,838.8031839,2.23385696,1.004554711,0.002675278
7120,147.616,2544,4.13573936,46.32219185,836.1894077,3.008521012,1.00142444,0.003603019
7122,147.915,2544,6.754086883,40.68986985,832.7805889,2.257118655,0.997342023,0.002703136
7123,148.25,2544,7.224671151,56.58523528,833.5398969,2.169648367,0.998251373,0.002598381
7123,148.25,2544,2.368928267,22.11196591,822.778016,4.055336782,0.985362893,0.004856691
7124,148.746,2544,6.9507027,57.73300041,843.9265299,2.31723496,1.010690455,0.002775132
7124,148.746,2544,1.95515224,27.81487663,818.6700635,4.370233588,0.98044319,0.005233813
7125,149.275,2544,7.232648725,64.64031283,830.7386598,2.24597656,0.994896599,0.002689792
7127,149.721,2544,7.021208042,58.69928845,847.0598147,2.333858567,1.014442892,0.00279504
